# 1distance 2Total_prob 3Px_prob 4HIlo 5HIup 6Vol 7Lum
0.882938 0.0151115 0.0169828 1 1 0.847999 1
0.882961 0.015129 0.0170021 1 1 0.848015 1
0.882984 0.0151465 0.0170215 1 1 0.848031 1
0.883007 0.015164 0.0170409 1 1 0.848046 1
0.88303 0.0151816 0.0170603 1 1 0.848062 1
0.883053 0.0151991 0.0170797 1 1 0.848077 1
0.883076 0.0152167 0.0170992 1 1 0.848093 1
0.883099 0.0152343 0.0171186 1 1 0.848109 1
0.883122 0.0152519 0.0171381 1 1 0.848124 1
0.883145 0.0152696 0.0171576 1 1 0.84814 1
0.883167 0.0152872 0.0171771 1 1 0.848155 1
0.88319 0.0153049 0.0171967 1 1 0.848171 1
0.883213 0.0153226 0.0172162 1 1 0.848187 1
0.883236 0.0153403 0.0172358 1 1 0.848202 1
0.883259 0.015358 0.0172554 1 1 0.848218 1
0.883282 0.0153757 0.017275 1 1 0.848234 1
0.883305 0.0153935 0.0172946 1 1 0.848249 1
0.883328 0.0154112 0.0173143 1 1 0.848265 1
0.883351 0.015429 0.0173339 1 1 0.84828 1
0.883374 0.0154468 0.0173536 1 1 0.848296 1
0.883397 0.0154647 0.0173733 1 1 0.848312 1
0.88342 0.0154825 0.017393 1 1 0.848327 1
0.883443 0.0155004 0.0174128 1 1 0.848343 1
0.883466 0.0155182 0.0174325 1 1 0.848358 1
0.883489 0.0155361 0.0174523 1 1 0.848374 1
0.883512 0.015554 0.0174721 1 1 0.84839 1
0.883535 0.015572 0.0174919 1 1 0.848405 1
0.883558 0.0155899 0.0175117 1 1 0.848421 1
0.883581 0.0156079 0.0175316 1 1 0.848436 1
0.883604 0.0156258 0.0175515 1 1 0.848452 1
0.883627 0.0156438 0.0175714 1 1 0.848468 1
0.88365 0.0156618 0.0175913 1 1 0.848483 1
0.883673 0.0156799 0.0176112 1 1 0.848499 1
0.883696 0.0156979 0.0176311 1 1 0.848514 1
0.883719 0.015716 0.0176511 1 1 0.84853 1
0.883741 0.0157341 0.0176711 1 1 0.848545 1
0.883764 0.0157522 0.0176911 1 1 0.848561 1
0.883787 0.0157703 0.0177111 1 1 0.848577 1
0.88381 0.0157884 0.0177311 1 1 0.848592 1
0.883833 0.0158066 0.0177512 1 1 0.848608 1
0.883856 0.0158247 0.0177713 1 1 0.848623 1
0.883879 0.0158429 0.0177914 1 1 0.848639 1
0.883902 0.0158611 0.0178115 1 1 0.848655 1
0.883925 0.0158793 0.0178316 1 1 0.84867 1
0.883948 0.0158976 0.0178518 1 1 0.848686 1
0.883971 0.0159158 0.017872 1 1 0.848701 1
0.883994 0.0159341 0.0178921 1 1 0.848717 1
0.884017 0.0159524 0.0179124 1 1 0.848732 1
0.88404 0.0159707 0.0179326 1 1 0.848748 1
0.884063 0.015989 0.0179528 1 1 0.848764 1
0.884086 0.0160074 0.0179731 1 1 0.848779 1
0.884109 0.0160257 0.0179934 1 1 0.848795 1
0.884132 0.0160441 0.0180137 1 1 0.84881 1
0.884155 0.0160625 0.018034 1 1 0.848826 1
0.884178 0.0160809 0.0180543 1 1 0.848841 1
0.884201 0.0160994 0.0180747 1 1 0.848857 1
0.884224 0.0161178 0.0180951 1 1 0.848873 1
0.884247 0.0161363 0.0181155 1 1 0.848888 1
0.88427 0.0161547 0.0181359 1 1 0.848904 1
0.884293 0.0161733 0.0181563 1 1 0.848919 1
0.884315 0.0161918 0.0181768 1 1 0.848935 1
0.884338 0.0162103 0.0181973 1 1 0.84895 1
0.884361 0.0162289 0.0182178 1 1 0.848966 1
0.884384 0.0162474 0.0182383 1 1 0.848982 1
0.884407 0.016266 0.0182588 1 1 0.848997 1
0.88443 0.0162846 0.0182794 1 1 0.849013 1
0.884453 0.0163033 0.0182999 1 1 0.849028 1
0.884476 0.0163219 0.0183205 1 1 0.849044 1
0.884499 0.0163406 0.0183411 1 1 0.849059 1
0.884522 0.0163592 0.0183618 1 1 0.849075 1
0.884545 0.0163779 0.0183824 1 1 0.849091 1
0.884568 0.0163966 0.0184031 1 1 0.849106 1
0.884591 0.0164154 0.0184238 1 1 0.849122 1
0.884614 0.0164341 0.0184445 1 1 0.849137 1
0.884637 0.0164529 0.0184652 1 1 0.849153 1
0.88466 0.0164717 0.0184859 1 1 0.849168 1
0.884683 0.0164905 0.0185067 1 1 0.849184 1
0.884706 0.0165093 0.0185275 1 1 0.849199 1
0.884729 0.0165281 0.0185483 1 1 0.849215 1
0.884752 0.016547 0.0185691 1 1 0.849231 1
0.884775 0.0165659 0.01859 1 1 0.849246 1
0.884798 0.0165848 0.0186108 1 1 0.849262 1
0.884821 0.0166037 0.0186317 1 1 0.849277 1
0.884844 0.0166226 0.0186526 1 1 0.849293 1
0.884866 0.0166416 0.0186735 1 1 0.849308 1
0.884889 0.0166605 0.0186945 1 1 0.849324 1
0.884912 0.0166795 0.0187154 1 1 0.849339 1
0.884935 0.0166985 0.0187364 1 1 0.849355 1
0.884958 0.0167175 0.0187574 1 1 0.84937 1
0.884981 0.0167366 0.0187784 1 1 0.849386 1
0.885004 0.0167556 0.0187994 1 1 0.849402 1
0.885027 0.0167747 0.0188205 1 1 0.849417 1
0.88505 0.0167938 0.0188416 1 1 0.849433 1
0.885073 0.0168129 0.0188627 1 1 0.849448 1
0.885096 0.016832 0.0188838 1 1 0.849464 1
0.885119 0.0168512 0.0189049 1 1 0.849479 1
0.885142 0.0168703 0.0189261 1 1 0.849495 1
0.885165 0.0168895 0.0189472 1 1 0.84951 1
0.885188 0.0169087 0.0189684 1 1 0.849526 1
0.885211 0.0169279 0.0189896 1 1 0.849541 1
0.885234 0.0169472 0.0190109 1 1 0.849557 1
0.885257 0.0169664 0.0190321 1 1 0.849572 1
0.88528 0.0169857 0.0190534 1 1 0.849588 1
0.885303 0.017005 0.0190747 1 1 0.849604 1
0.885326 0.0170243 0.019096 1 1 0.849619 1
0.885349 0.0170436 0.0191173 1 1 0.849635 1
0.885372 0.017063 0.0191387 1 1 0.84965 1
0.885395 0.0170823 0.01916 1 1 0.849666 1
0.885418 0.0171017 0.0191814 1 1 0.849681 1
0.88544 0.0171211 0.0192028 1 1 0.849697 1
0.885463 0.0171405 0.0192243 1 1 0.849712 1
0.885486 0.01716 0.0192457 1 1 0.849728 1
0.885509 0.0171794 0.0192672 1 1 0.849743 1
0.885532 0.0171989 0.0192887 1 1 0.849759 1
0.885555 0.0172184 0.0193102 1 1 0.849774 1
0.885578 0.0172379 0.0193317 1 1 0.84979 1
0.885601 0.0172574 0.0193532 1 1 0.849805 1
0.885624 0.017277 0.0193748 1 1 0.849821 1
0.885647 0.0172965 0.0193964 1 1 0.849836 1
0.88567 0.0173161 0.019418 1 1 0.849852 1
0.885693 0.0173357 0.0194396 1 1 0.849867 1
0.885716 0.0173553 0.0194613 1 1 0.849883 1
0.885739 0.017375 0.0194829 1 1 0.849898 1
0.885762 0.0173946 0.0195046 1 1 0.849914 1
0.885785 0.0174143 0.0195263 1 1 0.849929 1
0.885808 0.017434 0.0195481 1 1 0.849945 1
0.885831 0.0174537 0.0195698 1 1 0.84996 1
0.885854 0.0174734 0.0195916 1 1 0.849976 1
0.885877 0.0174932 0.0196134 1 1 0.849991 1
0.8859 0.017513 0.0196352 1 1 0.850007 1
0.885923 0.0175327 0.019657 1 1 0.850023 1
0.885946 0.0175526 0.0196788 1 1 0.850038 1
0.885969 0.0175724 0.0197007 1 1 0.850054 1
0.885991 0.0175922 0.0197226 1 1 0.850069 1
0.886014 0.0176121 0.0197445 1 1 0.850085 1
0.886037 0.017632 0.0197664 1 1 0.8501 1
0.88606 0.0176519 0.0197884 1 1 0.850116 1
0.886083 0.0176718 0.0198103 1 1 0.850131 1
0.886106 0.0176917 0.0198323 1 1 0.850147 1
0.886129 0.0177117 0.0198543 1 1 0.850162 1
0.886152 0.0177316 0.0198764 1 1 0.850178 1
0.886175 0.0177516 0.0198984 1 1 0.850193 1
0.886198 0.0177716 0.0199205 1 1 0.850209 1
0.886221 0.0177917 0.0199426 1 1 0.850224 1
0.886244 0.0178117 0.0199647 1 1 0.85024 1
0.886267 0.0178318 0.0199868 1 1 0.850255 1
0.88629 0.0178519 0.0200089 1 1 0.850271 1
0.886313 0.017872 0.0200311 1 1 0.850286 1
0.886336 0.0178921 0.0200533 1 1 0.850301 1
0.886359 0.0179122 0.0200755 1 1 0.850317 1
0.886382 0.0179324 0.0200977 1 1 0.850332 1
0.886405 0.0179526 0.02012 1 1 0.850348 1
0.886428 0.0179728 0.0201423 1 1 0.850363 1
0.886451 0.017993 0.0201645 1 1 0.850379 1
0.886474 0.0180132 0.0201869 1 1 0.850394 1
0.886497 0.0180335 0.0202092 1 1 0.85041 1
0.88652 0.0180538 0.0202315 1 1 0.850425 1
0.886543 0.0180741 0.0202539 1 1 0.850441 1
0.886565 0.0180944 0.0202763 1 1 0.850456 1
0.886588 0.0181147 0.0202987 1 1 0.850472 1
0.886611 0.018135 0.0203211 1 1 0.850487 1
0.886634 0.0181554 0.0203436 1 1 0.850503 1
0.886657 0.0181758 0.0203661 1 1 0.850518 1
0.88668 0.0181962 0.0203886 1 1 0.850534 1
0.886703 0.0182166 0.0204111 1 1 0.850549 1
0.886726 0.0182371 0.0204336 1 1 0.850565 1
0.886749 0.0182575 0.0204562 1 1 0.85058 1
0.886772 0.018278 0.0204788 1 1 0.850596 1
0.886795 0.0182985 0.0205014 1 1 0.850611 1
0.886818 0.018319 0.020524 1 1 0.850627 1
0.886841 0.0183396 0.0205466 1 1 0.850642 1
0.886864 0.0183601 0.0205693 1 1 0.850658 1
0.886887 0.0183807 0.0205919 1 1 0.850673 1
0.88691 0.0184013 0.0206146 1 1 0.850689 1
0.886933 0.0184219 0.0206374 1 1 0.850704 1
0.886956 0.0184426 0.0206601 1 1 0.850719 1
0.886979 0.0184632 0.0206829 1 1 0.850735 1
0.887002 0.0184839 0.0207057 1 1 0.85075 1
0.887025 0.0185046 0.0207285 1 1 0.850766 1
0.887048 0.0185253 0.0207513 1 1 0.850781 1
0.887071 0.018546 0.0207741 1 1 0.850797 1
0.887094 0.0185668 0.020797 1 1 0.850812 1
0.887117 0.0185876 0.0208199 1 1 0.850828 1
0.887139 0.0186083 0.0208428 1 1 0.850843 1
0.887162 0.0186292 0.0208657 1 1 0.850859 1
0.887185 0.01865 0.0208887 1 1 0.850874 1
0.887208 0.0186708 0.0209116 1 1 0.85089 1
0.887231 0.0186917 0.0209346 1 1 0.850905 1
0.887254 0.0187126 0.0209576 1 1 0.85092 1
0.887277 0.0187335 0.0209807 1 1 0.850936 1
0.8873 0.0187544 0.0210037 1 1 0.850951 1
0.887323 0.0187754 0.0210268 1 1 0.850967 1
0.887346 0.0187963 0.0210499 1 1 0.850982 1
0.887369 0.0188173 0.021073 1 1 0.850998 1
0.887392 0.0188383 0.0210961 1 1 0.851013 1
0.887415 0.0188593 0.0211193 1 1 0.851029 1
0.887438 0.0188804 0.0211425 1 1 0.851044 1
0.887461 0.0189014 0.0211657 1 1 0.85106 1
0.887484 0.0189225 0.0211889 1 1 0.851075 1
0.887507 0.0189436 0.0212121 1 1 0.85109 1
0.88753 0.0189647 0.0212354 1 1 0.851106 1
0.887553 0.0189859 0.0212587 1 1 0.851121 1
0.887576 0.019007 0.021282 1 1 0.851137 1
0.887599 0.0190282 0.0213053 1 1 0.851152 1
