psrname	mean_F2_random_sign	assumed_D
J0613-0200 4.419964765581914e-31 0.8884390422353978
J0711-6830 -9.748638055630226e-31 1
J1017-7156 4.8103681952192425e-31 1.505796311819621
J1022+1001 -4.436900255085223e-31 0.42818468140156535
J1024-0719 8.079390308037622e-30 1.1999884430988628
J1045-4509 1.0081309569360802e-31 0.5716317225629006
J1125-6014 -1.3366700243012124e-30 2.2613962577502966
J1446-4701 1.5639803774720098e-31 3.3736395147790605
J1545-4550 1.206854958655411e-31 2.252822810982767
J1600-3053 -1.7179192925688653e-31 2.1753206746672498
J1603-7202 4.948960821047731e-32 1.692004675869383
J1643-1224 -1.2174784108619008e-31 1.208705073529036
J1713+0747 -1.0337741268393034e-31 1.1900297240924984
J1730-2304 -6.202053506204196e-31 0.47853848830241963
J1732-5049 2.2021790793066785e-31 1
J1744-1134 -1.4217223185314393e-30 0.4112017589518204
J1824-2452A -1.8353196773346463e-28 6.939414810332646
J1832-0836 2.3177498352548445e-30 1.4504146869042658
J1857+0943 -8.269135490264863e-32 1.1595120152024676
J1909-3744 5.598073590585013e-30 1.1471580395933292
J1939+2134 5.843773336391264e-30 5.241442215038031
J2124-3358 6.88013225904834e-30 0.45224743111080534
J2129-5721 -5.528668153128848e-31 6.458338398773752
J2145-0750 1.3729504820882742e-31 0.6699960385360662
