Nested Sampling Global Log-Evidence           :    0.342772129175209848E+05  +/-    0.685790219277731428E+00
Nested Importance Sampling Global Log-Evidence:    0.342760746412512235E+05  +/-    0.270934716518140446E-01

Dim No.       Mean        Sigma
   1    0.975215441968540625E-01    0.866339139092163757E+00
   2   -0.366801140480105536E-01    0.123406575209311997E+01
   3   -0.524302140799918437E+00    0.107336177901464573E+02
   4    0.833374059058934052E-01    0.673701983536336649E-02
   5   -0.149619764045480022E+02    0.332050653676346230E+00
   6    0.445682274200591255E+01    0.726743906044877708E+00
   7   -0.120241516293991939E+02    0.402095306167111755E-01
   8    0.143921567059622002E+01    0.184341736771089088E+00
   9   -0.132280042337858816E+02    0.634561967637086999E-01
  10    0.103233454429577565E+01    0.286233437563001958E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.939487054989101011E-01
   2    0.197123147517700659E+00
   3   -0.862943835998872899E+01
   4    0.868975742268613960E-01
   5   -0.148165708290966514E+02
   6    0.415279352017303971E+01
   7   -0.120446309363057953E+02
   8    0.151248375473042040E+01
   9   -0.132358131095105058E+02
  10    0.947529824677305732E+00

MAP Parameters
Dim No.        Parameter
   1    0.939487054989101011E-01
   2    0.197123147517700659E+00
   3   -0.862943835998872899E+01
   4    0.868975742268613960E-01
   5   -0.148165708290966514E+02
   6    0.415279352017303971E+01
   7   -0.120446309363057953E+02
   8    0.151248375473042040E+01
   9   -0.132358131095105058E+02
  10    0.947529824677305732E+00
