Nested Sampling Global Log-Evidence           :    0.342756658788144996E+05  +/-    0.678247434407828642E+00
Nested Importance Sampling Global Log-Evidence:    0.342743228435047495E+05  +/-    0.317942654932245605E-01

Dim No.       Mean        Sigma
   1    0.281943768624827451E-01    0.885906481285119396E+00
   2   -0.145053746843225528E+00    0.124444823516501013E+01
   3    0.293927848988183471E+00    0.105107990881841502E+02
   4    0.841079594057296959E-01    0.697833625460755370E-02
   5   -0.150052053316086997E+02    0.342986392578745247E+00
   6    0.454618687301923785E+01    0.726906692775080576E+00
   7   -0.120214830475038035E+02    0.412084895938159002E-01
   8    0.147330616336970288E+01    0.172077637303727438E+00
   9   -0.132288301373670496E+02    0.664876241451419076E-01
  10    0.102031690863721125E+01    0.293535439876226212E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.365424775492378728E+00
   2   -0.523257839621660281E+00
   3    0.241649183120323130E+01
   4    0.829432915667576154E-01
   5   -0.145922316630186515E+02
   6    0.363726488297895045E+01
   7   -0.119972993757991535E+02
   8    0.152317635704118048E+01
   9   -0.132225401306608781E+02
  10    0.112768660888083794E+01

MAP Parameters
Dim No.        Parameter
   1    0.365424775492378728E+00
   2   -0.523257839621660281E+00
   3    0.241649183120323130E+01
   4    0.829432915667576154E-01
   5   -0.145922316630186515E+02
   6    0.363726488297895045E+01
   7   -0.119972993757991535E+02
   8    0.152317635704118048E+01
   9   -0.132225401306608781E+02
  10    0.112768660888083794E+01
