Nested Sampling Global Log-Evidence           :    0.341934154904460374E+05  +/-    0.517413796795227365E+00
Nested Importance Sampling Global Log-Evidence:    0.341916178257342981E+05  +/-    0.242016958513578094E-01

Dim No.       Mean        Sigma
   1    0.704661724193740846E-01    0.106383606753338822E+01
   2    0.653583333267337085E+00    0.177898581093432734E+00
   3    0.485795166733981987E+00    0.137175174638344659E-01
   4   -0.148733991894152311E+02    0.364717133568302765E+00
   5    0.424547135785349994E+01    0.811709307224417809E+00
   6   -0.119709819341615784E+02    0.390441264175604361E-01
   7    0.144518666839917120E+01    0.163760226835816231E+00
   8   -0.131423150525949470E+02    0.536712404656805309E-01
   9    0.102880034731715631E+01    0.221954182146755996E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.104787691746650680E+01
   2    0.611762202187854709E+00
   3    0.480043390457790431E+00
   4   -0.151216956155140103E+02
   5    0.457595339773058818E+01
   6   -0.119750628572417082E+02
   7    0.140381654747418017E+01
   8   -0.131363340068788546E+02
   9    0.106632745288575248E+01

MAP Parameters
Dim No.        Parameter
   1    0.104787691746650680E+01
   2    0.611762202187854709E+00
   3    0.480043390457790431E+00
   4   -0.151216956155140103E+02
   5    0.457595339773058818E+01
   6   -0.119750628572417082E+02
   7    0.140381654747418017E+01
   8   -0.131363340068788546E+02
   9    0.106632745288575248E+01
