Nested Sampling Global Log-Evidence           :    0.341740758600394111E+05  +/-    0.508545895411782634E+00
Nested Importance Sampling Global Log-Evidence:    0.341717015992440793E+05  +/-    0.230005166970504056E-01

Dim No.       Mean        Sigma
   1    0.150875995032227594E+00    0.108714894439955523E+01
   2    0.660201385022472720E+00    0.198353341545773831E+00
   3    0.487203583984208433E+00    0.150995909850916449E-01
   4   -0.147580204147192990E+02    0.369819441420898010E+00
   5    0.403634252777466873E+01    0.839122146024193438E+00
   6   -0.120698237559239470E+02    0.423524484048993441E-01
   7    0.127023218632522261E+01    0.175856145336130726E+00
   8   -0.131108520104217288E+02    0.485562910259561276E-01
   9    0.110324424960423451E+01    0.222884282409801654E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.271174979595368626E+00
   2    0.607881262588246041E+00
   3    0.480307194722589537E+00
   4   -0.144663048980855251E+02
   5    0.337640356786543760E+01
   6   -0.121004324575400908E+02
   7    0.115635178577290576E+01
   8   -0.131310350687324018E+02
   9    0.116999118701553595E+01

MAP Parameters
Dim No.        Parameter
   1   -0.271174979595368626E+00
   2    0.607881262588246041E+00
   3    0.480307194722589537E+00
   4   -0.144663048980855251E+02
   5    0.337640356786543760E+01
   6   -0.121004324575400908E+02
   7    0.115635178577290576E+01
   8   -0.131310350687324018E+02
   9    0.116999118701553595E+01
