Nested Sampling Global Log-Evidence           :    0.894460298229206528E+05  +/-    0.564883981338187735E+00
Nested Importance Sampling Global Log-Evidence:    0.894454664784062770E+05  +/-    0.365825013772762553E-01

Dim No.       Mean        Sigma
   1    0.705346614803520011E+00    0.974785239815342819E+00
   2    0.243632770854787128E+00    0.958288041243376687E-01
   3    0.535566072414253691E+00    0.155512653736951029E+00
   4   -0.112795405326580020E+02    0.377256652300453979E-01
   5    0.555881074570876987E+00    0.133317056855390248E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.147735508053382869E+00
   2    0.162571406199392532E+00
   3    0.645644563823135398E+00
   4   -0.112735013833478419E+02
   5    0.502974974096010441E+00

MAP Parameters
Dim No.        Parameter
   1    0.147735508053382869E+00
   2    0.162571406199392532E+00
   3    0.645644563823135398E+00
   4   -0.112735013833478419E+02
   5    0.502974974096010441E+00
