Nested Sampling Global Log-Evidence           :    0.901002806432092475E+05  +/-    0.470913337744056859E+00
Nested Importance Sampling Global Log-Evidence:    0.900981646741397708E+05  +/-    0.191141261467947556E-01

Dim No.       Mean        Sigma
   1   -0.110428910251386212E-01    0.932674305899169998E+00
   2    0.381727471124790385E+00    0.102302464009808558E+01
   3    0.481349641713901211E+00    0.328728794593487417E+00
   4    0.518709986804920642E+00    0.156258518584496658E+00
   5   -0.144437390928939564E+02    0.456020889631108428E+00
   6    0.428078886189197227E+01    0.988094149957584267E+00
   7   -0.114871819892678371E+02    0.502229710419972372E-01
   8    0.199376788789655124E+01    0.194649353533418196E+00
   9   -0.126076063951077906E+02    0.832175591026649702E-01
  10    0.204247411859516825E+01    0.317960289806358654E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.937807588551905269E+00
   2    0.195279259003844574E+01
   3    0.146899717657264541E-01
   4    0.685435444201390909E+00
   5   -0.141839570260808543E+02
   6    0.391751243710168939E+01
   7   -0.114623410453229226E+02
   8    0.185438242923437913E+01
   9   -0.126256127063810499E+02
  10    0.180618865070635204E+01

MAP Parameters
Dim No.        Parameter
   1    0.937807588551905269E+00
   2    0.195279259003844574E+01
   3    0.146899717657264541E-01
   4    0.685435444201390909E+00
   5   -0.141839570260808543E+02
   6    0.391751243710168939E+01
   7   -0.114623410453229226E+02
   8    0.185438242923437913E+01
   9   -0.126256127063810499E+02
  10    0.180618865070635204E+01
