Nested Sampling Global Log-Evidence           :    0.900921021330872609E+05  +/-    0.250162723715430357E+00
Nested Importance Sampling Global Log-Evidence:    0.900912449541887472E+05  +/-    0.452092041753673277E-01

Dim No.       Mean        Sigma
   1   -0.716627430411443667E-01    0.904166022942461400E+00
   2    0.445317710740685990E+00    0.101576447693398730E+01
   3    0.509453103436556476E+00    0.312146864866674922E+00
   4    0.494855378470595186E+00    0.158141631134958216E+00
   5   -0.144701917274310645E+02    0.444014546262771981E+00
   6    0.432126024520047114E+01    0.949385187476464165E+00
   7   -0.114905243756498638E+02    0.765115632410883345E-01
   8    0.200961407039606588E+01    0.236955408333613365E+00
   9   -0.126057017619908560E+02    0.788738552314561664E-01
  10    0.203433087304728666E+01    0.303570193923480947E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.920232474755039220E+00
   2    0.579684801056203902E-01
   3    0.144990763734763772E+00
   4    0.650944909146174200E+00
   5   -0.141635370020962625E+02
   6    0.379495450260117106E+01
   7   -0.115148575593289113E+02
   8    0.203343508335595935E+01
   9   -0.126197096932518171E+02
  10    0.191005981108377521E+01

MAP Parameters
Dim No.        Parameter
   1   -0.920232474755039220E+00
   2    0.579684801056203902E-01
   3    0.144990763734763772E+00
   4    0.650944909146174200E+00
   5   -0.141635370020962625E+02
   6    0.379495450260117106E+01
   7   -0.115148575593289113E+02
   8    0.203343508335595935E+01
   9   -0.126197096932518171E+02
  10    0.191005981108377521E+01
