Nested Sampling Global Log-Evidence           :    0.900932945563043468E+05  +/-    0.554650412964515449E+00
Nested Importance Sampling Global Log-Evidence:    0.900909870759072946E+05  +/-    0.428933380942364273E-01

Dim No.       Mean        Sigma
   1    0.504356467023132193E+00    0.449168071459923922E-03
   2    0.433642479477495568E+00    0.903952529728237697E+00
   3    0.457986455145740046E+00    0.295877735006256415E+00
   4    0.657228974530093213E+00    0.165805867893864915E-01
   5   -0.144149534619236466E+02    0.419656284257903578E+00
   6    0.422652375615702347E+01    0.877346396900534620E+00
   7   -0.114870847004404730E+02    0.448861500725444632E-01
   8    0.199782301903801662E+01    0.175747639804507833E+00
   9   -0.126177436823484506E+02    0.788711919021385516E-01
  10    0.205520882615461264E+01    0.262500779712049326E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.503798121632769380E+00
   2    0.212812873360751720E+00
   3    0.933389931191211941E+00
   4    0.655754882736712341E+00
   5   -0.145893524992474433E+02
   6    0.453064531264142012E+01
   7   -0.115356574781912329E+02
   8    0.203353812024699554E+01
   9   -0.126690779495093722E+02
  10    0.202851954616917540E+01

MAP Parameters
Dim No.        Parameter
   1    0.503798121632769380E+00
   2    0.212812873360751720E+00
   3    0.933389931191211941E+00
   4    0.655754882736712341E+00
   5   -0.145893524992474433E+02
   6    0.453064531264142012E+01
   7   -0.115356574781912329E+02
   8    0.203353812024699554E+01
   9   -0.126690779495093722E+02
  10    0.202851954616917540E+01
