Nested Sampling Global Log-Evidence           :    0.900978240910554450E+05  +/-    0.297321918248738604E+00
Nested Importance Sampling Global Log-Evidence:    0.900963285953684972E+05  +/-    0.153468220564181648E-01

Dim No.       Mean        Sigma
   1    0.504445703310815952E+00    0.486618109420911156E-03
   2    0.215282709930754657E+00    0.471895453832006651E-01
   3    0.517577933684556735E+00    0.299645253679002854E+00
   4    0.498393229024917728E+00    0.156490600836999755E+00
   5   -0.144578049285415808E+02    0.449744081616848868E+00
   6    0.430118595767439427E+01    0.956829746643152124E+00
   7   -0.114890205776071497E+02    0.488504201397269577E-01
   8    0.201497905136336941E+01    0.192008874979280902E+00
   9   -0.126163233249571594E+02    0.833496457680925340E-01
  10    0.203815846507110310E+01    0.309284635140142372E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.505124062546846497E+00
   2    0.201355913727407188E+00
   3    0.346593788949338621E+00
   4    0.650612581341820206E+00
   5   -0.141380983575521277E+02
   6    0.371006763800445771E+01
   7   -0.114824956339391591E+02
   8    0.201595358992689899E+01
   9   -0.126563776203281346E+02
  10    0.223536464441635729E+01

MAP Parameters
Dim No.        Parameter
   1    0.505124062546846497E+00
   2    0.201355913727407188E+00
   3    0.346593788949338621E+00
   4    0.650612581341820206E+00
   5   -0.141380983575521277E+02
   6    0.371006763800445771E+01
   7   -0.114824956339391591E+02
   8    0.201595358992689899E+01
   9   -0.126563776203281346E+02
  10    0.223536464441635729E+01
