Nested Sampling Global Log-Evidence           :    0.901086714243012684E+05  +/-    0.369403965297633197E+00
Nested Importance Sampling Global Log-Evidence:    0.901057161729468062E+05  +/-    0.504998179625592902E+00

Dim No.       Mean        Sigma
   1   -0.884451966387170962E+01    0.288258354056901851E+03
   2   -0.790090500812420715E+00    0.989680330971369204E+00
   3    0.499605787107836596E+00    0.153336598834856619E+00
   4    0.230834179630621361E+00    0.535636061775250083E-01
   5    0.532090461993717123E+00    0.283966463615175135E+00
   6    0.486989712046314249E+00    0.161841885419285458E+00
   7   -0.144735289325255092E+02    0.455976182400639252E+00
   8    0.433713106351058819E+01    0.949890659218492583E+00
   9   -0.114835787699146188E+02    0.460938397985235226E-01
  10    0.201372130539947047E+01    0.192427774568122933E+00
  11   -0.126230165554780598E+02    0.842360554657452382E-01
  12    0.200426328226495487E+01    0.303091302186186184E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.333237193939847884E+02
   2   -0.546030317225358885E+00
   3    0.486585010673305396E+00
   4    0.214205008955835247E+00
   5    0.404008207306285005E+00
   6    0.656700632980100396E+00
   7   -0.144144157607884935E+02
   8    0.398006245708835849E+01
   9   -0.114607555506472227E+02
  10    0.190540470518685878E+01
  11   -0.125734504701662289E+02
  12    0.198367877202179610E+01

MAP Parameters
Dim No.        Parameter
   1   -0.333237193939847884E+02
   2   -0.546030317225358885E+00
   3    0.486585010673305396E+00
   4    0.214205008955835247E+00
   5    0.404008207306285005E+00
   6    0.656700632980100396E+00
   7   -0.144144157607884935E+02
   8    0.398006245708835849E+01
   9   -0.114607555506472227E+02
  10    0.190540470518685878E+01
  11   -0.125734504701662289E+02
  12    0.198367877202179610E+01
