Nested Sampling Global Log-Evidence           :    0.900977576656372985E+05  +/-    0.513554942171736251E+00
Nested Importance Sampling Global Log-Evidence:    0.900963816203119350E+05  +/-    0.253488516913574317E-01

Dim No.       Mean        Sigma
   1    0.180498990795875364E+00    0.881785075129544738E+00
   2    0.392058362881790579E+00    0.103600719113198791E+01
   3    0.456053178491514943E+00    0.327853408006555214E+00
   4    0.492603902866126875E+00    0.157415094203469025E+00
   5   -0.144613146627169318E+02    0.461095022768745089E+00
   6    0.427361787527361514E+01    0.949339267204752812E+00
   7   -0.114873090788889183E+02    0.472300001206331158E-01
   8    0.200694297153469758E+01    0.187280068792137711E+00
   9   -0.126226509275161725E+02    0.829470883958264710E-01
  10    0.206988425835865186E+01    0.299995546866299367E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.117627489515186312E+00
   2   -0.107669213732529023E+00
   3    0.869723813197712192E+00
   4    0.645735057553623149E+00
   5   -0.141032360072454512E+02
   6    0.335556471683976731E+01
   7   -0.114863691063658440E+02
   8    0.201777968979334421E+01
   9   -0.125588697853257969E+02
  10    0.209834695334827170E+01

MAP Parameters
Dim No.        Parameter
   1    0.117627489515186312E+00
   2   -0.107669213732529023E+00
   3    0.869723813197712192E+00
   4    0.645735057553623149E+00
   5   -0.141032360072454512E+02
   6    0.335556471683976731E+01
   7   -0.114863691063658440E+02
   8    0.201777968979334421E+01
   9   -0.125588697853257969E+02
  10    0.209834695334827170E+01
