Nested Sampling Global Log-Evidence           :    0.901386368532502238E+05  +/-    0.480808768983254808E+00
Nested Importance Sampling Global Log-Evidence:    0.901367706050930137E+05  +/-    0.207393262018604543E-01

Dim No.       Mean        Sigma
   1   -0.108800873105119548E-01    0.896797902372912681E+00
   2    0.423614366824185851E+00    0.105951944075071935E+01
   3    0.538528452175358829E+00    0.310253102378267920E+00
   4    0.492125881721482750E+00    0.157076152693381071E+00
   5   -0.144711792076520211E+02    0.461643198918384956E+00
   6    0.431295943089882439E+01    0.965806281718541104E+00
   7   -0.114926267896712506E+02    0.489185226123286312E-01
   8    0.202887287624544976E+01    0.207115039477301033E+00
   9   -0.126222628674659134E+02    0.883898152413179483E-01
  10    0.206892510218641767E+01    0.339907965183208371E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.284684122987115984E+00
   2   -0.207763556179747955E+00
   3    0.134705443289174359E+00
   4    0.647798490248264081E+00
   5   -0.141048946752111508E+02
   6    0.336476766090766333E+01
   7   -0.114690029674280822E+02
   8    0.218447773271593526E+01
   9   -0.125843000745015061E+02
  10    0.200182375667914902E+01

MAP Parameters
Dim No.        Parameter
   1   -0.284684122987115984E+00
   2   -0.207763556179747955E+00
   3    0.134705443289174359E+00
   4    0.647798490248264081E+00
   5   -0.141048946752111508E+02
   6    0.336476766090766333E+01
   7   -0.114690029674280822E+02
   8    0.218447773271593526E+01
   9   -0.125843000745015061E+02
  10    0.200182375667914902E+01
