Nested Sampling Global Log-Evidence           :    0.207972198611332482E+06  +/-    0.559203059553155191E+00
Nested Importance Sampling Global Log-Evidence:    0.207971759959259449E+06  +/-    0.204727033641873800E-01

Dim No.       Mean        Sigma
   1   -0.746507304158511853E+00    0.759637361393334043E+00
   2    0.789396217043482173E+00    0.275847197776725117E+00
   3    0.486365272525344394E+00    0.140775741171197278E-01
   4   -0.137545777255875272E+02    0.551720742486262045E-01
   5    0.164540695207676979E+01    0.162810147482197159E+00
   6   -0.120864772833495273E+02    0.453996970246254641E-01
   7    0.132467941652844257E+01    0.164772524673195420E+00
   8   -0.132496117756133263E+02    0.555104451550744310E-01
   9    0.482481193283536614E+00    0.215247071772674048E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.755787982399915848E+00
   2    0.961905437510152561E+00
   3    0.480395307074795330E+00
   4   -0.137463070181231437E+02
   5    0.155869697490751569E+01
   6   -0.121140472564887123E+02
   7    0.129520182691250474E+01
   8   -0.132543496527539411E+02
   9    0.511859717882738430E+00

MAP Parameters
Dim No.        Parameter
   1   -0.755787982399915848E+00
   2    0.961905437510152561E+00
   3    0.480395307074795330E+00
   4   -0.137463070181231437E+02
   5    0.155869697490751569E+01
   6   -0.121140472564887123E+02
   7    0.129520182691250474E+01
   8   -0.132543496527539411E+02
   9    0.511859717882738430E+00
