Nested Sampling Global Log-Evidence           :    0.207973377629439550E+06  +/-    0.550987456051270197E+00
Nested Importance Sampling Global Log-Evidence:    0.207972545839676750E+06  +/-    0.293017759757115831E-01

Dim No.       Mean        Sigma
   1   -0.785136939488083052E+00    0.790587727026795473E+00
   2    0.824951840906746559E+00    0.228055850229674839E+00
   3    0.484961294043547209E+00    0.125514361697258905E-01
   4   -0.137521085856928149E+02    0.546373006270811021E-01
   5    0.161835896853439687E+01    0.163881677321534830E+00
   6   -0.120930587740039694E+02    0.443974052839118186E-01
   7    0.133730910871365172E+01    0.168003972572402849E+00
   8   -0.132546993236020629E+02    0.550930149163733479E-01
   9    0.481223959308848814E+00    0.207502477884256215E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.862717165464790270E+00
   2    0.953441254632090618E+00
   3    0.480423598219446246E+00
   4   -0.137421266143817764E+02
   5    0.167796395479568172E+01
   6   -0.120922811292470538E+02
   7    0.131722824527752258E+01
   8   -0.132291124338045911E+02
   9    0.519269035549692504E+00

MAP Parameters
Dim No.        Parameter
   1   -0.862717165464790270E+00
   2    0.953441254632090618E+00
   3    0.480423598219446246E+00
   4   -0.137421266143817764E+02
   5    0.167796395479568172E+01
   6   -0.120922811292470538E+02
   7    0.131722824527752258E+01
   8   -0.132291124338045911E+02
   9    0.519269035549692504E+00
