Nested Sampling Global Log-Evidence           :    0.207973160713201651E+06  +/-    0.579275400419502762E+00
Nested Importance Sampling Global Log-Evidence:    0.207972289133574755E+06  +/-    0.165705604916781303E-01

Dim No.       Mean        Sigma
   1   -0.119003231486814176E+01    0.143497259509148245E+01
   2   -0.621762158760456041E+00    0.757039797769929579E+00
   3    0.738138266727610515E+00    0.267393000901864408E+00
   4    0.504045090135999740E+00    0.191897038064224555E-01
   5   -0.137553762080539528E+02    0.499999528767608239E-01
   6    0.161828249595130624E+01    0.156479609732241620E+00
   7   -0.120931804160013403E+02    0.398384365486865247E-01
   8    0.130272379634467383E+01    0.158702187853957205E+00
   9   -0.132459081865886255E+02    0.509383918708911781E-01
  10    0.495354074986791182E+00    0.191849674818699745E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.103633013314364675E+01
   2   -0.117851381921551734E+01
   3    0.790405923830693857E+00
   4    0.480488995733191260E+00
   5   -0.137505536999813316E+02
   6    0.148978895195305849E+01
   7   -0.121051387277793019E+02
   8    0.123209436339598555E+01
   9   -0.132565214151608544E+02
  10    0.408573813385620599E+00

MAP Parameters
Dim No.        Parameter
   1    0.103633013314364675E+01
   2   -0.117851381921551734E+01
   3    0.790405923830693857E+00
   4    0.480488995733191260E+00
   5   -0.137505536999813316E+02
   6    0.148978895195305849E+01
   7   -0.121051387277793019E+02
   8    0.123209436339598555E+01
   9   -0.132565214151608544E+02
  10    0.408573813385620599E+00
