Nested Sampling Global Log-Evidence           :    0.208002219899093529E+06  +/-    0.553521278389924376E+00
Nested Importance Sampling Global Log-Evidence:    0.208001431485866487E+06  +/-    0.241862829571764075E-01

Dim No.       Mean        Sigma
   1   -0.726982415922696301E+00    0.799231782778932143E+00
   2    0.786434625238565665E+00    0.262394771969677532E+00
   3    0.485827557459834691E+00    0.135287495401394293E-01
   4   -0.137783136183392525E+02    0.623501392669713536E-01
   5    0.167735446771373664E+01    0.185857992234781111E+00
   6   -0.120519628384919049E+02    0.428330883272192015E-01
   7    0.136153154836721280E+01    0.167431224808832047E+00
   8   -0.132290377405475024E+02    0.547639085170718576E-01
   9    0.547881780706674149E+00    0.206643141494106342E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.103604428514589841E+00
   2    0.960661101493567871E+00
   3    0.480267290227877341E+00
   4   -0.137649144585456966E+02
   5    0.156446374521157616E+01
   6   -0.120650919195984265E+02
   7    0.132766252917609107E+01
   8   -0.131880757685198269E+02
   9    0.669328391218388163E+00

MAP Parameters
Dim No.        Parameter
   1   -0.103604428514589841E+00
   2    0.960661101493567871E+00
   3    0.480267290227877341E+00
   4   -0.137649144585456966E+02
   5    0.156446374521157616E+01
   6   -0.120650919195984265E+02
   7    0.132766252917609107E+01
   8   -0.131880757685198269E+02
   9    0.669328391218388163E+00
