MJD TASC TASC_ERR
55259 56726.9638076846 9.252e-08
55309 56726.963807199 1.6057e-07
55359 56726.9638064468 3.3431e-07
55409 56726.9638066593 7.5806e-08
55459 56726.963806781 1.399e-07
55509 56726.9638065873 1.6622e-07
55559 56726.9638061942 2.5713e-07
55609 56726.9638061597 3.676e-07
55659 56726.9638062946 1.2598e-07
55709 56726.9638060485 1.3774e-07
55759 56726.9638062033 1.3848e-07
55809 56726.9638059183 3.102e-07
55859 56726.9638062156 1.5116e-07
55909 56726.9638060832 1.9253e-07
55959 56726.9638060492 1.0346e-07
56009 56726.9638064269 2.6768e-07
56059 56726.9638058664 2.2071e-07
56109 56726.9638057312 1.7737e-07
56159 56726.9638054961 1.7461e-07
56209 56726.963805559 7.8194e-08
56259 56726.9638052161 1.1268e-07
56309 56726.963805211 1.2998e-07
56359 56726.9638051 3.0592e-07
56409 56726.9638046192 9.0787e-08
56459 56726.9638044802 4.9444e-08
56509 56726.9638040493 7.4048e-08
56559 56726.9638040942 1.0151e-07
56609 56726.9638040851 1.8466e-08
56659 56726.9638039832 9.0051e-08
56709 56726.9638038243 1.3849e-07
56759 56726.9638041894 6.1427e-08
56809 56726.9638041879 8.7721e-08
56859 56726.963804362 1.5118e-07
56909 56726.9638046404 1.6824e-07
56959 56726.9638046706 2.5761e-08
57009 56726.9638044107 1.7653e-07
57059 56726.9638048799 1.7743e-07
57109 56726.9638048202 5.0097e-08
57159 56726.9638049505 1.4711e-07
57209 56726.9638047895 1.033e-07
57259 56726.9638049882 7.2373e-08
57309 56726.9638048103 5.3941e-08
57359 56726.9638049477 2.8796e-07
57409 56726.9638049346 1.8183e-07
57459 56726.9638050323 1.1605e-07
57509 56726.9638048379 3.1741e-08
57559 56726.9638047833 1.8826e-07
57609 56726.963805445 1.6438e-07
57659 56726.9638049317 2.46e-07
57709 56726.9638053123 1.3335e-07
57759 56726.9638059949 1.0279e-07
57809 56726.9638064815 1.0465e-07
57859 56726.9638066603 1.6841e-07
57909 56726.9638070967 2.3193e-07
57959 56726.9638072595 2.1283e-07
58009 56726.963807818 1.1103e-07
58059 56726.9638081853 1.2495e-07
58109 56726.9638081788 4.0922e-07
58159 56726.9638127577 1.6165e-06
58209 56726.9638089298 2.7875e-07
