This program comes with ABSOLUTELY NO WARRANTY.
This is free software, and you are welcome to redistribute it
under conditions of GPL license.

[clkcorr.C:157] Note, using '/home/dreardon/tempo2/clock' to look for extra clock files
[tempo2Util.C:395] Warning: [TIM1] Please place MODE flags in the parameter file 
Updating TOA errors using TN parameters.
[tempo2Util.C:396] [TROP2] Assume standard atmospheric pressure (no data) for site pks at MJD 53041.8
[tempo2Util.C:396] [TROP1] Assume zero zenith wet delay (no data) for site pks  at MJD 53041.8
[tempo2Util.C:400] Warning: [DUP1] duplicated warnings have been suppressed.
[t2fit.C:1165] Warning: Refusing to fit for bad JUMP ' -f MULTI_cpsr2m -0.0044825650240007 1' which had no data points in range
[t2fit.C:1165] Warning: Refusing to fit for bad JUMP ' -f H-OH_cpsr2n -0.0044805863295816 1' which had no data points in range
[TKfit.C:344] SVD nparams=644 nconst=598 ndata=5464
[t2fit_nestlike.C:143] 0 param_red_dm_sin 0 -0.000314183 0.000470192
[t2fit_nestlike.C:143] 0 param_red_dm_sin 1 -0.000413247 0.00014291
[t2fit_nestlike.C:143] 0 param_red_dm_sin 2 -0.000260899 9.78399e-05
[t2fit_nestlike.C:143] 0 param_red_dm_sin 3 2.36726e-05 7.3797e-05
[t2fit_nestlike.C:143] 0 param_red_dm_sin 4 -2.02279e-06 5.83085e-05
[t2fit_nestlike.C:143] 0 param_red_dm_sin 5 6.90656e-05 5.59756e-05
[t2fit_nestlike.C:143] 0 param_red_dm_sin 6 0.000117378 4.52017e-05
[t2fit_nestlike.C:143] 0 param_red_dm_sin 7 1.07214e-05 4.01548e-05
[t2fit_nestlike.C:143] 0 param_red_dm_sin 8 -3.24959e-05 3.55501e-05
[t2fit_nestlike.C:143] 0 param_red_dm_sin 9 1.70652e-05 3.15506e-05
[t2fit_nestlike.C:143] 0 param_red_dm_sin 10 1.38991e-05 3.0538e-05
[t2fit_nestlike.C:143] 0 param_red_dm_sin 11 -2.60094e-05 2.68762e-05
[t2fit_nestlike.C:143] 0 param_red_dm_sin 12 -2.79645e-06 2.55165e-05
[t2fit_nestlike.C:143] 0 param_red_dm_sin 13 -1.65143e-05 2.34555e-05
[t2fit_nestlike.C:143] 0 param_red_dm_sin 14 -2.84682e-05 2.23404e-05
[t2fit_nestlike.C:143] 0 param_red_dm_sin 15 -6.84197e-06 2.03687e-05
[t2fit_nestlike.C:143] 0 param_red_dm_sin 16 -8.23717e-07 1.94366e-05
[t2fit_nestlike.C:143] 0 param_red_dm_sin 17 -5.40431e-06 1.84632e-05
[t2fit_nestlike.C:143] 0 param_red_dm_sin 18 -4.87302e-06 1.73432e-05
[t2fit_nestlike.C:143] 0 param_red_dm_sin 19 1.02155e-05 1.67511e-05
[t2fit_nestlike.C:143] 0 param_red_dm_sin 20 1.05562e-05 1.63519e-05
[t2fit_nestlike.C:143] 0 param_red_dm_sin 21 9.73985e-06 1.67519e-05
[t2fit_nestlike.C:143] 0 param_red_dm_sin 22 1.27387e-05 1.61244e-05
[t2fit_nestlike.C:143] 0 param_red_dm_sin 23 1.13428e-05 1.42443e-05
[t2fit_nestlike.C:143] 0 param_red_dm_sin 24 7.51172e-06 1.37816e-05
[t2fit_nestlike.C:143] 0 param_red_dm_sin 25 3.28849e-06 1.29394e-05
[t2fit_nestlike.C:143] 0 param_red_dm_sin 26 4.94673e-06 1.26067e-05
[t2fit_nestlike.C:143] 0 param_red_dm_sin 27 -4.20798e-06 1.22144e-05
[t2fit_nestlike.C:143] 0 param_red_dm_sin 28 -8.78681e-06 1.16835e-05
[t2fit_nestlike.C:143] 0 param_red_dm_sin 29 -1.66282e-06 1.14404e-05
[t2fit_nestlike.C:143] 0 param_red_dm_sin 30 3.32863e-06 1.09325e-05
[t2fit_nestlike.C:143] 0 param_red_dm_sin 31 9.65675e-06 1.05412e-05
[t2fit_nestlike.C:143] 0 param_red_dm_sin 32 1.17791e-05 1.0264e-05
[t2fit_nestlike.C:143] 0 param_red_dm_sin 33 1.01748e-05 9.90694e-06
[t2fit_nestlike.C:143] 0 param_red_dm_sin 34 4.5746e-06 9.58918e-06
[t2fit_nestlike.C:143] 0 param_red_dm_sin 35 3.48554e-06 9.47619e-06
[t2fit_nestlike.C:143] 0 param_red_dm_sin 36 3.67504e-06 9.10056e-06
[t2fit_nestlike.C:143] 0 param_red_dm_sin 37 3.09755e-06 9.00261e-06
[t2fit_nestlike.C:143] 0 param_red_dm_sin 38 7.80602e-06 8.68442e-06
[t2fit_nestlike.C:143] 0 param_red_dm_sin 39 1.01784e-05 8.54918e-06
[t2fit_nestlike.C:143] 0 param_red_dm_sin 40 6.25184e-06 8.27236e-06
[t2fit_nestlike.C:143] 0 param_red_dm_sin 41 -3.64739e-06 8.11699e-06
[t2fit_nestlike.C:143] 0 param_red_dm_sin 42 -4.44358e-06 7.92993e-06
[t2fit_nestlike.C:143] 0 param_red_dm_sin 43 -8.9886e-07 7.76539e-06
[t2fit_nestlike.C:143] 0 param_red_dm_sin 44 -2.06426e-06 7.58446e-06
[t2fit_nestlike.C:143] 0 param_red_dm_sin 45 -3.20058e-06 7.43164e-06
[t2fit_nestlike.C:143] 0 param_red_dm_sin 46 -1.38358e-06 7.23787e-06
[t2fit_nestlike.C:143] 0 param_red_dm_sin 47 4.35979e-06 7.12248e-06
[t2fit_nestlike.C:143] 0 param_red_dm_sin 48 6.10828e-06 6.95826e-06
[t2fit_nestlike.C:143] 0 param_red_dm_sin 49 3.42924e-06 6.83326e-06
[t2fit_nestlike.C:143] 0 param_red_dm_sin 50 -2.53703e-06 6.64526e-06
[t2fit_nestlike.C:143] 0 param_red_dm_sin 51 -5.2212e-06 6.56322e-06
[t2fit_nestlike.C:143] 0 param_red_dm_sin 52 1.65919e-07 6.43907e-06
[t2fit_nestlike.C:143] 0 param_red_dm_sin 53 5.35143e-06 6.34382e-06
[t2fit_nestlike.C:143] 0 param_red_dm_sin 54 4.57122e-06 6.19145e-06
[t2fit_nestlike.C:143] 0 param_red_dm_sin 55 -1.02665e-06 6.06465e-06
[t2fit_nestlike.C:143] 0 param_red_dm_sin 56 -4.41454e-06 5.98744e-06
[t2fit_nestlike.C:143] 0 param_red_dm_sin 57 -4.10256e-06 5.85017e-06
[t2fit_nestlike.C:143] 0 param_red_dm_sin 58 -2.45037e-06 5.79002e-06
[t2fit_nestlike.C:143] 0 param_red_dm_sin 59 -2.29285e-06 5.65464e-06
[t2fit_nestlike.C:143] 0 param_red_dm_sin 60 -2.7005e-06 5.57321e-06
[t2fit_nestlike.C:143] 0 param_red_dm_sin 61 5.80155e-07 5.47591e-06
[t2fit_nestlike.C:143] 0 param_red_dm_sin 62 4.00002e-06 5.40304e-06
[t2fit_nestlike.C:143] 0 param_red_dm_sin 63 2.9429e-06 5.27509e-06
[t2fit_nestlike.C:143] 0 param_red_dm_sin 64 -1.71912e-07 5.21369e-06
[t2fit_nestlike.C:143] 0 param_red_dm_sin 65 -4.47449e-07 5.12945e-06
[t2fit_nestlike.C:143] 0 param_red_dm_sin 66 -4.08785e-07 5.04813e-06
[t2fit_nestlike.C:143] 0 param_red_dm_sin 67 -1.17396e-06 4.95854e-06
[t2fit_nestlike.C:143] 0 param_red_dm_sin 68 -6.68284e-07 4.87816e-06
[t2fit_nestlike.C:143] 0 param_red_dm_sin 69 5.41748e-07 4.8157e-06
[t2fit_nestlike.C:143] 0 param_red_dm_sin 70 9.43295e-07 4.73518e-06
[t2fit_nestlike.C:143] 0 param_red_dm_sin 71 -3.02604e-07 4.65915e-06
[t2fit_nestlike.C:143] 0 param_red_dm_sin 72 -1.83681e-06 4.58631e-06
[t2fit_nestlike.C:143] 0 param_red_dm_sin 73 -2.95241e-06 4.53954e-06
[t2fit_nestlike.C:143] 0 param_red_dm_sin 74 -8.19506e-07 4.47291e-06
[t2fit_nestlike.C:143] 0 param_red_dm_sin 75 2.49061e-06 4.39808e-06
[t2fit_nestlike.C:143] 0 param_red_dm_sin 76 1.46647e-06 4.3575e-06
[t2fit_nestlike.C:143] 0 param_red_dm_sin 77 -3.56804e-07 4.28323e-06
[t2fit_nestlike.C:143] 0 param_red_dm_sin 78 1.18046e-06 4.22418e-06
[t2fit_nestlike.C:143] 0 param_red_dm_sin 79 2.62078e-06 4.17016e-06
[t2fit_nestlike.C:143] 0 param_red_dm_sin 80 6.56367e-07 4.09716e-06
[t2fit_nestlike.C:143] 0 param_red_dm_sin 81 -2.26779e-07 4.06203e-06
[t2fit_nestlike.C:143] 0 param_red_dm_sin 82 2.01099e-06 4.01047e-06
[t2fit_nestlike.C:143] 0 param_red_dm_sin 83 2.29668e-06 3.95531e-06
[t2fit_nestlike.C:143] 0 param_red_dm_sin 84 5.26006e-07 3.89846e-06
[t2fit_nestlike.C:143] 0 param_red_dm_sin 85 -9.98298e-07 3.85109e-06
[t2fit_nestlike.C:143] 0 param_red_dm_sin 86 -1.64556e-06 3.79727e-06
[t2fit_nestlike.C:143] 0 param_red_dm_sin 87 -1.37894e-06 3.75017e-06
[t2fit_nestlike.C:143] 0 param_red_dm_sin 88 1.66034e-07 3.7058e-06
[t2fit_nestlike.C:143] 0 param_red_dm_sin 89 8.28889e-07 3.66675e-06
[t2fit_nestlike.C:143] 0 param_red_dm_sin 90 -1.23538e-06 3.61649e-06
[t2fit_nestlike.C:143] 0 param_red_dm_sin 91 -1.7114e-06 3.57536e-06
[t2fit_nestlike.C:143] 0 param_red_dm_sin 92 2.55239e-07 3.53382e-06
[t2fit_nestlike.C:143] 0 param_red_dm_sin 93 1.6001e-06 3.49411e-06
[t2fit_nestlike.C:143] 0 param_red_dm_sin 94 3.20346e-07 3.4556e-06
[t2fit_nestlike.C:143] 0 param_red_dm_sin 95 -1.36418e-06 3.405e-06
